ユーザー名,大計画,中計画,小計画タスク,日付,完了フラグ,video_url,material_id,page_range
田中太郎,2027年2月 私立中学合格！,[国語] 説明文の基礎読解,説明文読解ドリルP.1-2,2026-03-15,1,,,
田中太郎,2027年2月 私立中学合格！,[算数] 小数・分数の計算完全マスター,小数の計算ドリルP.10-12,2026-03-03,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 春の植物,春の植物観察ノート・スケッチ,2026-03-06,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の工業,日本の工業 教科書P.20-23読む,2026-03-06,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 説明文の基礎読解,説明文の要約練習プリント1枚,2026-03-10,0,,,
田中太郎,2027年2月 私立中学合格！,[算数] 小数・分数の計算完全マスター,分数の計算ドリルP.5-7,2026-03-10,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 春の植物,春の植物 確認問題5問,2026-03-13,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の工業,日本の工業 ワークP.8-9,2026-03-13,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 説明文の基礎読解,説明文読解ドリルP.3-4,2026-03-17,1,,,
田中太郎,2027年2月 私立中学合格！,[算数] 小数・分数の計算完全マスター,小数・分数混合計算ドリルP.1-2,2026-03-17,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 春の植物,春の植物 まとめテスト対策,2026-03-20,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の工業,日本の工業 地図で確認,2026-03-20,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 説明文の基礎読解,説明文読解 演習問題1題,2026-03-24,1,,,
田中太郎,2027年2月 私立中学合格！,[算数] 小数・分数の計算完全マスター,計算ドリルP.15-16（総合）,2026-03-24,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 春の植物,春の植物 復習問題,2026-03-27,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の工業,日本の工業 一問一答10問,2026-03-27,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 説明文の基礎読解,説明文 月間まとめテスト,2026-03-31,1,,,
田中太郎,2027年2月 私立中学合格！,[算数] 小数・分数の計算完全マスター,小数・分数 月間まとめテスト,2026-03-31,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 物語文の心情理解,物語文読解ドリルP.1-2,2026-04-03,0,,,
田中太郎,2027年2月 私立中学合格！,[算数] 図形の面積・体積,面積の公式 基本問題P.1-2,2026-04-03,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 天気の変化,天気の変化 教科書P.10-13読む,2026-04-07,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の農業,日本の農業 教科書P.30-33読む,2026-04-07,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 物語文の心情理解,心情を読み取る練習プリント1枚,2026-04-10,0,,,
田中太郎,2027年2月 私立中学合格！,[算数] 図形の面積・体積,体積の公式 基本問題P.1-2,2026-04-10,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 天気の変化,天気の変化 ワークP.5-6,2026-04-14,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の農業,日本の農業 ワークP.10-11,2026-04-14,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 物語文の心情理解,物語文読解ドリルP.3-4,2026-04-17,0,,,
田中太郎,2027年2月 私立中学合格！,[算数] 図形の面積・体積,面積・体積 応用問題2問,2026-04-17,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 天気の変化,天気の変化 確認問題5問,2026-04-21,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の農業,日本の農業 地図で産地確認,2026-04-21,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 物語文の心情理解,物語文 演習問題1題,2026-04-24,0,,,
田中太郎,2027年2月 私立中学合格！,[算数] 図形の面積・体積,図形の面積・体積 まとめドリル,2026-04-24,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 天気の変化,天気の変化 まとめテスト対策,2026-04-28,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の農業,日本の農業 一問一答10問,2026-04-28,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 漢字・語句の強化,漢字練習P.5（10個）,2026-05-01,0,,,
田中太郎,2027年2月 私立中学合格！,[算数] 割合と比の基礎,割合の基本 ドリルP.1-2,2026-05-01,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 電流の働き,電流の働き 教科書P.40-43読む,2026-05-05,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の歴史（旧石器〜平安）,旧石器・縄文 教科書P.50-52読む,2026-05-05,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 漢字・語句の強化,語句の意味 練習プリント1枚,2026-05-08,0,,,
田中太郎,2027年2月 私立中学合格！,[算数] 割合と比の基礎,比の基本 ドリルP.1-2,2026-05-08,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 電流の働き,電流の働き 回路図をかく,2026-05-12,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の歴史（旧石器〜平安）,弥生・古墳 教科書P.53-55読む,2026-05-12,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 漢字・語句の強化,漢字練習P.6-7（10個）,2026-05-15,0,,,
田中太郎,2027年2月 私立中学合格！,[算数] 割合と比の基礎,割合と比 練習問題5問,2026-05-15,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 電流の働き,電流の働き ワークP.12-13,2026-05-19,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の歴史（旧石器〜平安）,飛鳥・奈良 教科書P.56-58読む,2026-05-19,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 漢字・語句の強化,漢字・語句 確認テスト対策,2026-05-22,0,,,
田中太郎,2027年2月 私立中学合格！,[算数] 割合と比の基礎,割合と比 応用問題2問,2026-05-22,0,,,
田中太郎,2027年2月 私立中学合格！,[理科] 電流の働き,電流の働き 確認問題5問,2026-05-26,0,,,
田中太郎,2027年2月 私立中学合格！,[社会] 日本の歴史（旧石器〜平安）,平安時代 教科書P.59-61読む,2026-05-26,0,,,
田中太郎,2027年2月 私立中学合格！,[国語] 漢字・語句の強化,漢字 月間まとめテスト,2026-05-29,0,,,
田中太郎,2027年2月 私立中学合格！,[算数] 割合と比の基礎,割合と比 月間まとめテスト,2026-05-29,0,,,
